"Average monthly MID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/EUR","USD/DKK","","",""
"2012-08-31","0.8075","6.0090",,,
"2012-07-31","0.8125","6.0433",,,
"2012-06-30","0.7978","5.9316",,,
"2012-05-31","0.7790","5.7909",,,
"2012-04-30","0.7593","5.6488",,,
"2012-03-31","0.7568","5.6276",,,
"2012-02-29","0.7564","5.6228",,,
"2012-01-31","0.7756","5.7661",,,
"2011-12-31","0.7585","5.6394",,,
"2011-11-30","0.7360","5.4776",,,
"2011-10-31","0.7301","5.4346",,,
"2011-09-30","0.7246","5.3952",,,
"2011-08-31","0.6971","5.1952",,,
"2011-07-31","0.6990","5.2113",,,
"2011-06-30","0.6953","5.1857",,,
"2011-05-31","0.6974","5.2006",,,
"2011-04-30","0.6927","5.1661",,,
"2011-03-31","0.7142","5.3266",,,
"2011-02-28","0.7328","5.4634",,,
"2011-01-31","0.7490","5.5813",,,
"2010-12-31","0.7567","5.6396",,,
"2010-11-30","0.7304","5.4462",,,
"2010-10-31","0.7197","5.3674",,,
"2010-09-30","0.7677","5.7174",,,
"2010-08-31","0.7746","5.7702",,,
"2010-07-31","0.7840","5.8434",,,
"2010-06-30","0.8188","6.0924",,,
"2010-05-31","0.7928","5.8986",,,
"2010-04-30","0.7439","5.5385",,,
"2010-03-31","0.7364","5.4809",,,
"2010-02-28","0.7309","5.4443",,,
"2010-01-31","0.7003","5.2126",,,
"2009-12-31","0.6849","5.0982",,,
"2009-11-30","0.6713","4.9941",,,
"2009-10-31","0.6754","5.0279",,,
"2009-09-30","0.6874","5.1151",,,
"2009-08-31","0.7015","5.2205",,,
"2009-07-31","0.7107","5.2903",,,
"2009-06-30","0.7136","5.3120",,,
"2009-05-31","0.7337","5.4649",,,
"2009-04-30","0.7573","5.6451",,,
"2009-03-31","0.7678","5.7185",,,
"2009-02-28","0.7804","5.8184",,,
"2009-01-31","0.7492","5.5876",,,
"2008-12-31","0.7439","5.5373",,,
"2008-11-30","0.7869","5.8571",,,
"2008-10-31","0.7492","5.5844",,,
"2008-09-30","0.6948","5.1901",,,
"2008-08-31","0.6672","4.9776",,,
"2008-07-31","0.6337","4.7286",,,
"2008-06-30","0.6422","4.7908",,,
"2008-05-31","0.6427","4.7960",,,
"2008-04-30","0.6344","4.7344",,,
"2008-03-31","0.6458","4.8144",,,
"2008-02-29","0.6793","5.0627",,,
"2008-01-31","0.6802","5.0644",,,
"2007-12-31","0.6869","5.1262",,,
"2007-11-30","0.6818","5.0825",,,
"2007-10-31","0.7029","5.2379",,,
"2007-09-30","0.7203","5.3611",,,
"2007-08-31","0.7336","5.4600",,,
"2007-07-31","0.7296","5.4285",,,
"2007-06-30","0.7452","5.5469",,,
"2007-05-31","0.7395","5.5119",,,
"2007-04-30","0.7408","5.5205",,,
"2007-03-31","0.7554","5.6278",,,
"2007-02-28","0.7654","5.7046",,,
"2007-01-31","0.7693","5.7355",,,
"2006-12-31","0.7576","5.6479",,,
"2006-11-30","0.7776","5.7951",,,
"2006-10-31","0.7926","5.9091",,,
"2006-09-30","0.7850","5.8573",,,
"2006-08-31","0.7810","5.8266",,,
"2006-07-31","0.7871","5.8717",,,
"2006-06-30","0.7892","5.8849",,,
"2006-05-31","0.7835","5.8407",,,
"2006-04-30","0.8168","6.0940",,,
"2006-03-31","0.8319","6.2060",,,
"2006-02-28","0.8367","6.2462",,,
"2006-01-31","0.8272","6.1690",,,
"2005-12-31","0.8436","6.2877",,,
"2005-11-30","0.8481","6.3268",,,
"2005-10-31","0.8309","6.2001",,,
"2005-09-30","0.8149","6.0785",,,
"2005-08-31","0.8134","6.0674",,,
"2005-07-31","0.8304","6.1941",,,
"2005-06-30","0.8218","6.1179",,,
"2005-05-31","0.7877","5.8637",,,
"2005-04-30","0.7726","5.7551",,,
"2005-03-31","0.7574","5.6407",,,
"2005-02-28","0.7689","5.7221",,,
"2005-01-31","0.7610","5.6618",,,
"2004-12-31","0.7465","5.5491",,,
"2004-11-30","0.7691","5.7151",,,
"2004-10-31","0.7996","5.9462",,,
"2004-09-30","0.8193","6.0941",,,
"2004-08-31","0.8198","6.0983",,,
"2004-07-31","0.8147","6.0573",,,
"2004-06-30","0.8231","6.1197",,,
"2004-05-31","0.8334","6.2013",,,
"2004-04-30","0.8325","6.1979",,,
"2004-03-31","0.8153","6.0722",,,
"2004-02-29","0.7926","5.9073",,,
"2004-01-31","0.7939","5.9098",,,
"2003-12-31","0.8136","6.0540",,,
"2003-11-30","0.8539","6.3493",,,
"2003-10-31","0.8544","6.3479",,,
"2003-09-30","0.8891","6.6037",,,
"2003-08-31","0.8966","6.6627",,,
"2003-07-31","0.8785","6.5298",,,
"2003-06-30","0.8567","6.3611",,,
"2003-05-31","0.8656","6.4270",,,
"2003-04-30","0.9210","6.8390",,,
"2003-03-31","0.9273","6.8884",,,
"2003-02-28","0.9278","6.8949",,,
"2003-01-31","0.9419","6.9989",,,
"2002-12-31","0.9806","7.2831",,,
"2002-11-30","0.9979","7.4138",,,
"2002-10-31","1.0195","7.5756",,,
"2002-09-30","1.0205","7.5776",,,
"2002-08-31","1.0223","7.5920",,,
"2002-07-31","1.0073","7.4855",,,
"2002-06-30","1.0476","7.7865",,,
"2002-05-31","1.0908","8.1110",,,
"2002-04-30","1.1287","8.3924",,,
"2002-03-31","1.1419","8.4877",,,
"2002-02-28","1.1491","8.5383",,,
"2002-01-31","1.1308","8.4056",,,
"2001-12-31","1.1211","8.3475",,,
"2001-11-30","1.1252","8.3782",,,
"2001-10-31","1.1038","8.2091",,,
"2001-09-30","1.0962","8.1588",,,
"2001-08-31","1.1100","8.2645",,,
"2001-07-31","1.1620","8.6540",,,
"2001-06-30","1.1713","8.7362",,,
"2001-05-31","1.1407","8.5113",,,
"2001-04-30","1.1204","8.3570",,,
"2001-03-31","1.0987","8.2056",,,
"2001-02-28","1.0840","8.0910",,,
"2001-01-31","1.0644","7.9441",,,
"2000-12-31","1.1112","8.2871",,,
"2000-11-30","1.1707","8.7255",,,
"2000-10-31","1.1692","8.7095",,,
"2000-09-30","1.1466","8.5560",,,
"2000-08-31","1.1042","8.2347",,,
"2000-07-31","1.0633","7.9307",,,
"2000-06-30","1.0531","7.8555",,,
"2000-05-31","1.1008","8.2173",,,
"2000-04-30","1.0565","7.8761",,,
"2000-03-31","1.0352","7.7115",,,
"2000-02-29","1.0161","7.5662",,,
""
"Period Average","0.8424","6.2729","","",""
"Period Low","0.6337","4.7286","","",""
"Period High","1.1713","8.7362","","",""
